,period,minute,location,under_pressure,player_name,pattern_of_play,team,player_position,statsbomb_xg,technique,body_part,tipe,first_time,goal,location_x,location_y,distance,angle
4661,2,49,"[106.1, 28.7]",1.0,Rachel Furness,Regular Play,Tottenham Hotspur Women,Right Center Midfield,0.100453496,Normal,Left Foot,Open Play,1,0,106.1,28.7,17.913681921927722,0.34971869593188254
4662,2,51,"[98.3, 52.2]",0.0,Drew Spence,From Free Kick,Chelsea FCW,Right Center Midfield,0.019933498,Half Volley,Right Foot,Open Play,1,0,98.3,52.2,24.89437687510977,0.27999208584914403
4663,2,55,"[85.2, 27.2]",0.0,Gemma Suzanne Davison,Regular Play,Tottenham Hotspur Women,Right Midfield,0.011245112,Normal,Right Foot,Open Play,0,0,85.2,27.2,37.0793743205033,0.20207825382096517
4664,2,58,"[91.9, 49.9]",0.0,Drew Spence,Regular Play,Chelsea FCW,Right Center Midfield,0.021284178,Normal,Right Foot,Open Play,0,0,91.9,49.9,29.792952186716906,0.2524099246616244
4665,2,58,"[107.7, 36.7]",0.0,Guro Reiten,Regular Play,Chelsea FCW,Left Wing,0.0609995999999999,Normal,Head,Open Play,0,0,107.7,36.7,12.734991166074671,0.5924726213090381
4666,2,58,"[111.7, 33.0]",0.0,Guro Reiten,From Counter,Chelsea FCW,Left Wing,0.071138695,Half Volley,Left Foot,Open Play,1,0,111.7,33.0,10.857716150277643,0.5775575709537053
4667,2,66,"[104.3, 55.2]",0.0,Millie Bright,From Free Kick,Chelsea FCW,Right Center Back,0.018893162,Half Volley,Right Foot,Open Play,1,0,104.3,55.2,21.852459815773607,0.26570379052310955
4668,2,78,"[112.2, 35.5]",0.0,Guro Reiten,From Corner,Chelsea FCW,Left Wing,0.084902585,Half Volley,Left Foot,Open Play,1,0,112.2,35.5,9.004998611882177,0.7643015996418088
4669,2,80,"[100.8, 54.0]",0.0,Kit Graham,Regular Play,Tottenham Hotspur Women,Center Forward,0.033773866,Normal,Left Foot,Open Play,0,0,100.8,54.0,23.762154784446636,0.272976251358668
4670,2,85,"[104.7, 30.0]",0.0,Maren Nævdal Mjelde,From Free Kick,Chelsea FCW,Right Back,0.025403392,Half Volley,Right Foot,Open Play,0,0,104.7,30.0,18.278129007094787,0.36733182268184944
4671,2,87,"[109.7, 50.7]",0.0,Erin Cuthbert,From Throw In,Chelsea FCW,Right Wing,0.12533996,Normal,Right Foot,Open Play,0,0,109.7,50.7,14.851935900750448,0.3828975487779707
